mileage,dealer,location,price,make,website
"481,235 mi",Arrow Truck Sales,"Elizabeth, NJ","$83,950",2019 MACK ANTHEM,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/anthem-2019/ee-listing-42036660
"647,962 mi",SelecTrucks of Atlanta,"McDonough, GA","$59,900",2015 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2015/ee-listing-42104829
"527,137 mi",Bruckner Truck Sales,"Oklahoma City, OK","$139,900",2019 Kenworth W900L,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w900l-2019/ee-listing-42171835
"368,333 mi",Doggett Freightliner,"North Little Rock, AR","$99,900",2020 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42135121
"448,157 mi",Arrow Truck Sales,"French Camp, CA","$99,950",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42100247
"578,876 mi",Bruckner Truck Sales,"San Antonio, TX","$89,900",2020 VOLVO VNL64T860,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t860-2020/ee-listing-42171839
"696,274 mi",Schneider,"Wilmer, TX","$39,500",2016 Volvo VNL670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2016/ee-listing-42144940
"482,800 mi",Tri-State Truck Center Inc,"Tupelo, MS","$99,995",2020 Mack AN64T,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/an64t-2020/ee-listing-42140390
null,Western Truck Center of West Sacramento,"West Sacramento, CA","$59,950",2017 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42158837
"387,217 mi",Diamond Truck Sales Inc,"Fort Worth, TX","$64,900",2019 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2019/ee-listing-42170503
"486,116 mi",International Used Truck Center,"Philadelphia, PA","$54,375",2017 International PROSTAR+ 122 6x4,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar1226x4-2017/ee-listing-42140100
"424,245 mi",Diamond Truck Sales Inc,"Turlock, CA","$68,900",2020 INTERNATIONAL LT,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170500
null,SelecTrucks of Alabama/Birmingham Freightliner,"Birmingham, AL","$59,900",2018 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2018/ee-listing-42153922
"339,674 mi",Steve England Truck Sales Inc,"Searcy, AR","$64,500",2017 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42155680
"220,606 mi",WE Sales,"Fargo, ND","$107,900",2000 KENWORTH T800,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t800-2000/ee-listing-42171998
"333,461 mi",Schneider,"Wilmer, TX","$73,500",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42183840
"398,499 mi",Doggett Freightliner,"El Paso, TX","$110,000",2019 Freightliner Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42125954
"512,919 mi",Doggett Freightliner,"Buda, TX","$72,900",2018 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42135098
"517,147 mi",Arrow Truck Sales,"French Camp, CA","$87,950",2018 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2018/ee-listing-42111162
"453,275 mi",The Peterbilt Store,"Knoxville, TN","$143,500",2019 Peterbilt 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42170555
"680,580 mi",Arrow Truck Sales,"Fontana, CA","$79,950",2019 VOLVO VNL760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2019/ee-listing-42044033
"157,000 mi",Old River Truck Sales,"Breaux Bridge, LA",Call For Price,2008 PETERBILT 367,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/367-2008/ee-listing-42138526
"380,596 mi",Arrow Truck Sales,"Fontana, CA","$72,950",2018 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2018/ee-listing-42078066
500 mi,Newman Farms Inc,"Mc Donald, TN","$56,500",1996 FREIGHTLINER FLD120,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/fld120-1996/ee-listing-42154929
"440,469 mi",Dobbs Peterbilt,"North Little Rock, AR","$84,950",2020 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42153565
"525,632 mi",Schneider,"Carlisle, PA","$44,500",2016 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42158275
"627,290 mi","Iron Dogs Equipment Sales, LLC","Union City, TN","$35,000",2014 MACK PINNACLE CXU613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclecxu613-2014/ee-listing-42053748
"443,164 mi",Thompson Truck Center,"La Vergne, TN","$89,500",2018 KENWORTH T880,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2018/ee-listing-42142701
"32,245 mi","Iron Dogs Equipment Sales, LLC","Union City, TN","$20,000",2005 MACK VISION CXN613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/visioncxn613-2005/ee-listing-42099810
"418,047 mi",Bergey's Truck Centers,"New Castle, DE","$69,900",2017 Volvo VNL64T670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t670-2017/ee-listing-42130751
"420,000 mi",Bruckner Truck Sales,"Oklahoma City, OK","$98,950",2020 Volvo VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2020/ee-listing-42171837
"784,423 mi",Arrow Truck Sales,"Elizabeth, NJ",Call For Price,2020 VOLVO VNL860,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl860-2020/ee-listing-42059574
"372,565 mi",Doggett Freightliner,"North Little Rock, AR","$129,900",2020 Freightliner Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2020/ee-listing-42164754
"397,957 mi",Arrow Truck Sales,"Cincinnati, OH","$78,450",2019 VOLVO VNL670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl670-2019/ee-listing-42141221
"616,953 mi",Doggett Freightliner,"El Paso, TX","$59,900",2017 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42135112
"452,781 mi",Diamond Truck Sales Inc,"Turlock, CA","$84,900",2019 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42170542
