mileage,dealer,location,price,make,website
"563,860 mi",Ryder Systems Inc,"North Little Rock, AR","$74,561",2019 Volvo VNL64TRACTOR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64tractor-2019/ee-listing-42153747
"213,886 mi",Ryder Systems Inc,"Indianapolis, IN","$50,695",2015 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2015/ee-listing-42171486
"416,625 mi",Penske Used Trucks,"Buffalo, NY","$45,750",2016 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2016/ee-listing-42184532
"450,096 mi",Ryder Systems Inc,"Syracuse, NY","$55,395",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42171441
"557,738 mi",Ryder Systems Inc,"Bolingbrook, IL","$68,995",2019 Volvo VNL64T 760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42129744
"204,171 mi",Don Baskin Truck Sales LLC,"Covington, TN","$12,000",1990 GMC TOPKICK C6500,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/gmc/topkickc6500-1990/ee-listing-42150177
"475,765 mi",Ryder Systems Inc,"Dallas, TX","$54,395",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42179750
"325,687 mi",Penske Used Trucks,"Charlotte, NC","$36,750",2016 FREIGHTLINER M2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2-2016/ee-listing-42182538
"247,236 mi",Ryder Systems Inc,"Orlando, FL","$66,353",2019 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2019/ee-listing-42125736
"606,018 mi",Penske Used Trucks,"Louisville, KY","$62,750",2018 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2018/ee-listing-42172671
"495,000 mi",G&J Truck Sales Inc,"Amarillo, TX","$31,950",2017 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2017/ee-listing-42145693
"485,534 mi",Penske Used Trucks,"Knoxville, TN","$100,500",2020 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2020/ee-listing-42172838
"396,093 mi",Ryder Systems Inc,"Oak Creek, WI","$49,795",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42169792
"627,432 mi",Ryder Systems Inc,"Memphis, TN","$52,495",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42170027
"319,834 mi",Penske Used Trucks,"Houston, TX","$59,000",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42177942
"446,269 mi",Ryder Systems Inc,"Hilliard, OH","$47,995",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42179703
1 mi,McMahon Truck Centers,"Charlotte, NC",Call For Price,2022 Mack PI64T M778,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pi64tm778-2022/ee-listing-41609395
"615,153 mi",Don Baskin Truck Sales LLC,"Covington, TN","$28,000",2009 VOLVO VNL64T630,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t630-2009/ee-listing-42150127
"724,341 mi",Ryder Systems Inc,"Indianapolis, IN","$57,496",2019 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2019/ee-listing-42153740
"463,600 mi",Penske Used Trucks,"Rockville, MD","$91,250",2020 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2020/ee-listing-42175272
"368,359 mi",Penske Used Trucks,"Rochester, NY","$52,250",2016 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2016/ee-listing-42184530
"502,398 mi",Penske Used Trucks,"Macon, GA","$55,000",2016 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2016/ee-listing-42178016
"18,894 mi",Ryder Systems Inc,"Nashville, TN","$83,083",2017 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2017/ee-listing-42140587
"307,957 mi",Penske Used Trucks,"Riviera Beach, FL","$40,250",2016 FREIGHTLINER X12542ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12542st-2016/ee-listing-42172326
"362,306 mi",Impel Union,"Alsip, IL","$88,500",2019 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2019/ee-listing-42164865
"482,718 mi",Ryder Systems Inc,"Pittsburgh, PA","$37,395",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42171403
"394,399 mi",Ryder Systems Inc,"Kansas City, MO","$39,795",2015 Navistar International PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/navistarinternational/prostar-2015/ee-listing-42176374
"394,316 mi",Ryder Systems Inc,"Wayland , MI","$57,395",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42171461
"669,274 mi",Penske Used Trucks,"Tampa, FL","$40,000",2016 VOLVO VNL64630,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64630-2016/ee-listing-42174786
"711,545 mi",M&K Truck Centers,"Byron Center, MI","$89,900",2001 KENWORTH T800,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t800-2001/ee-listing-42185537
"295,597 mi",Ryder Systems Inc,"Springfield, MA","$35,337",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42136337
"575,643 mi",Trevs Trucks,"Kansas City, MO","$67,950",2018 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42154086
"563,873 mi",Ryder Systems Inc,"Bensalem, PA","$30,995",2014 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2014/ee-listing-42170135
"457,644 mi",Ryder Systems Inc,"Springfield, MA","$66,495",2017 Volvo VNL64TRACTOR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64tractor-2017/ee-listing-42181636
"193,826 mi",Ryder Systems Inc,"Indianapolis, IN","$77,904",2017 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2017/ee-listing-42158540
"370,086 mi",Ryder Systems Inc,"Bensalem, PA","$47,195",2016 Freightliner CASCADIA 113,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia113-2016/ee-listing-42169770
"637,472 mi",Ryder Systems Inc,"Atlanta, GA","$49,095",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42171506
"567,183 mi",Exodus Truck Mart,"Dupo, IL","$59,995",2018 Volvo Commercial VNL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvocommercial/vnl-2018/ee-listing-42177859
"475,806 mi",Ryder Systems Inc,"Oak Creek, WI","$58,895",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42169832
"325,339 mi",Penske Used Trucks,"Tulsa, OK","$57,750",2016 FREIGHTLINER X12542ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12542st-2016/ee-listing-42182076
"364,842 mi",Trevs Trucks,"Kansas City, MO","$99,950",2019 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2019/ee-listing-42158744
"122,511 mi",Ryder Systems Inc,"Syracuse, NY","$48,495",2014 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2014/ee-listing-42170249
"691,526 mi",Penske Used Trucks,"Tempe, AZ","$50,500",2016 FREIGHTLINER X11364ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x11364st-2016/ee-listing-42179876
"592,902 mi",Penske Used Trucks,"Dallas, TX","$88,750",2019 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2019/ee-listing-42172813
"629,467 mi",Trevs Trucks,"Kansas City, MO","$82,950",2020 VOLVO VNL64T860,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t860-2020/ee-listing-42154112
"551,373 mi",Penske Used Trucks,"Jacksonville, FL","$48,750",2016 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2016/ee-listing-42182072
"633,636 mi",Penske Used Trucks,"Kearny, NJ","$53,250",2018 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2018/ee-listing-42172727
"203,336 mi",Ryder Systems Inc,"Jacksonville, FL","$46,266",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42156373
"701,283 mi",Ryder Systems Inc,"Phoenix, AZ","$41,495",2017 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2017/ee-listing-42181525
"554,410 mi",Penske Used Trucks,"Kansas City, MO","$51,750",2018 VOLVO VNR64300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnr64300-2018/ee-listing-42179220
"416,847 mi",Ryder Systems Inc,"Springfield, MA","$49,995",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42171501
"499,433 mi",Ryder Systems Inc,"Syracuse, NY","$38,995",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42179735
"739,063 mi",Ryder Systems Inc,"Miami, FL","$47,995",2017 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2017/ee-listing-42181669
429 mi,Impel Union,"Alsip, IL","$88,950",2018 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42139225
"171,673 mi",Martins Peterbilt,"London, KY",Call For Price,2022 PETERBILT 389,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2022/ee-listing-42111382
"178,256 mi",Don Baskin Truck Sales LLC,"Covington, TN","$7,500",2001 FREIGHTLINER FL70,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/fl70-2001/ee-listing-42150633
"381,669 mi",Ryder Systems Inc,"Bolingbrook, IL","$63,195",2017 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2017/ee-listing-42183469
"244,502 mi",Penske Used Trucks,"Sturtevant, WI","$61,750",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42172135
"165,610 mi",Ryder Systems Inc,"Taylor, MI","$39,249",2013 Navistar International 7600,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/navistarinternational/7600-2013/ee-listing-42100810
null,Palmer Trucks,"Dayton, OH","$120,000",2019 Peterbilt 389,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2019/ee-listing-42176616
null,Don Baskin Truck Sales LLC,"Covington, TN","$11,000",2004 MACK VISION CX613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/visioncx613-2004/ee-listing-42150507
"258,171 mi",Ryder Systems Inc,"Bensalem, PA","$59,948",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42152353
"571,234 mi",Penske Used Trucks,"Belden, MS","$73,250",2018 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2018/ee-listing-42175156
"414,484 mi",Penske Used Trucks,"Sterling, VA","$47,000",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42174508
null,Palmer Trucks,"Indianapolis, IN","$164,900",2022 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2022/ee-listing-42154033
"452,523 mi",Penske Used Trucks,"Boise, ID","$72,000",2017 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2017/ee-listing-42182243
"414,437 mi","Quad-City Peterbilt, Inc","Davenport, IA",Call For Price,2019 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42145050
"69,768 mi",Ryder Systems Inc,"Minneapolis, MN","$41,767",2015 Navistar International 4300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/navistarinternational/4300-2015/ee-listing-42149679
"572,480 mi",Penske Used Trucks,"Binghamton, NY","$48,250",2017 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2017/ee-listing-42172629
"152,609 mi",Don Baskin Truck Sales LLC,"Covington, TN","$35,000",2003 MACK GRANITE CV713,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/granitecv713-2003/ee-listing-42150062
"784,360 mi",Ryder Systems Inc,"Bensalem, PA","$61,795",2020 Volvo VNL64T 760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2020/ee-listing-42165486
"477,395 mi",Penske Used Trucks,"Spartanburg, SC","$46,750",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42184444
"453,193 mi",The House of Trucks,"Irving, TX","$66,977",2018 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2018/ee-listing-42185557
"359,193 mi",Penske Used Trucks,"Fitchburg, MA","$43,000",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42174477
"144,652 mi",Ryder Systems Inc,"Pittsburgh, PA","$49,995",2014 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2014/ee-listing-42154806
"222,150 mi",Ryder Systems Inc,"Compton, CA","$50,095",2014 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2014/ee-listing-42170128
"201,986 mi",Ryder Systems Inc,"Farmingdale, NY","$35,495",2016 Navistar International 4300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/navistarinternational/4300-2016/ee-listing-42160594
"230,232 mi",Ryder Systems Inc,"Greenville, SC","$66,884",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42138800
null,Palmer Trucks,"Indianapolis, IN","$99,900",2020 Kenworth T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42129415
"646,740 mi",Penske Used Trucks,"Obetz, OH","$37,750",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42110759
"234,660 mi",Ryder Systems Inc,"Wayland , MI","$66,096",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42183505
"544,268 mi",Penske Used Trucks,"Greensboro, NC","$45,000",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42174498
"558,761 mi",M&K Truck Centers,"Byron Center, MI","$67,840",2018 FREIGHTLINER Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2018/ee-listing-42183747
"340,330 mi",Penske Used Trucks,"San Antonio, TX","$61,000",2016 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2016/ee-listing-42184560
"236,064 mi",Penske Used Trucks,"San Antonio, TX","$61,000",2017 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2017/ee-listing-42172539
"508,134 mi",Ryder Systems Inc,"Syracuse, NY","$40,495",2016 Freightliner M2 112,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2112-2016/ee-listing-42129661
"252,401 mi",M&K Truck Centers,"Indianapolis, IN","$129,900",2021 FREIGHTLINER Cascadia 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2021/ee-listing-42154754
"574,628 mi",Penske Used Trucks,"Tampa, FL","$59,250",2017 VOLVO VNL64670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64670-2017/ee-listing-42175059
"486,237 mi",Penske Used Trucks,"East Chicago, IN","$48,250",2016 FREIGHTLINER X11364ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x11364st-2016/ee-listing-42174919
"470,796 mi",Penske Used Trucks,"Riviera Beach, FL","$79,000",2018 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2018/ee-listing-42172670
"446,981 mi",Penske Used Trucks,"Hudson, NH","$45,000",2017 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2017/ee-listing-42175015
"530,862 mi",Penske Used Trucks,"Harrisburg, PA","$46,250",2017 FREIGHTLINER X12542ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12542st-2017/ee-listing-42182260
"100,000 mi",Gateline Equipment,"Calhoun, TN","$39,999",1997 FREIGHTLINER FLD132 CLASSIC XL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/fld120-1997/ee-listing-42052812
"338,324 mi",M&K Truck Centers,"Alsip, IL","$134,900",2020 VOLVO VNL64T760,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t760-2020/ee-listing-42097027
"729,399 mi",Penske Used Trucks,"Dallas, TX","$40,500",2016 VOLVO VNL64670,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64670-2016/ee-listing-42174725
"275,074 mi",Penske Used Trucks,"Central Islip, NY","$54,250",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42172214
"280,674 mi",Ryder Systems Inc,"Atlanta, GA","$57,551",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42181699
"357,256 mi",Ryder Systems Inc,"Syracuse, NY","$20,995",2015 Freightliner CASCADIA 113,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia113-2015/ee-listing-42169963
"267,187 mi",Ryder Systems Inc,"O'Fallon, MO","$50,235",2015 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2015/ee-listing-42156306
"650,640 mi",Don Baskin Truck Sales LLC,"Covington, TN","$32,000",2016 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42149897
"189,299 mi",Ryder Systems Inc,"Altoona, IA","$54,421",2011 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2011/ee-listing-42152345
"409,670 mi",Ryder Systems Inc,"Syracuse, NY","$60,095",2016 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42170083
"351,288 mi",Ryder Systems Inc,"Oak Creek, WI","$45,395",2015 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2015/ee-listing-42178739
"1,174,000 mi",G&J Truck Sales Inc,"Haslet, TX","$18,950",2011 VOLVO VNL64T730,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t730-2011/ee-listing-42145662
"207,598 mi",Don Baskin Truck Sales LLC,"Covington, TN","$20,000",2001 GMC TOPKICK C8500,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/gmc/topkickc8500-2001/ee-listing-42150112
"785,572 mi",Penske Used Trucks,"Montebello, CA","$51,500",2018 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2018/ee-listing-42172674
"345,611 mi",Penske Used Trucks,"Houston, TX","$55,500",2015 FREIGHTLINER X11364ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x11364st-2015/ee-listing-42174463
"270,082 mi",Ryder Systems Inc,"Salisbury, MA","$51,586",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42130516
"162,672 mi",Penske Used Trucks,"Akron, OH","$49,750",2015 FREIGHTLINER M2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2-2015/ee-listing-42168201
"120,635 mi",Penske Used Trucks,"Akron, OH","$58,000",2015 FREIGHTLINER M2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2-2015/ee-listing-42177003
"506,497 mi",Don Baskin Truck Sales LLC,"Covington, TN","$15,000",2013 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2013/ee-listing-42149985
"570,744 mi",Penske Used Trucks,"Conyers, GA","$46,500",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42174644
"312,621 mi",M&K Truck Centers,"Byron Center, MI","$99,900",2012 FREIGHTLINER M2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2-2012/ee-listing-42183737
"461,465 mi",Penske Used Trucks,"Medley, FL","$47,000",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42172145
"221,895 mi",Ryder Systems Inc,"Bensalem, PA","$42,495",2017 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2017/ee-listing-42148649
"578,405 mi",Penske Used Trucks,"Jessup, MD","$61,250",2018 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2018/ee-listing-42182303
null,McMahon Truck Centers,"London, OH",Call For Price,2023 Kenworth T880,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t880-2023/ee-listing-42098728
null,Don Baskin Truck Sales LLC,"Covington, TN","$10,000",1968 KAISER M51A2,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kaiser/m51a2-1968/ee-listing-42150139
"571,053 mi",Ryder Systems Inc,"Syracuse, NY","$53,395",2017 Freightliner CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2017/ee-listing-42181629
"620,736 mi",Penske Used Trucks,"Winston Salem, NC","$44,500",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42175305
"759,189 mi",Penske Used Trucks,"San Antonio, TX","$45,000",2017 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2017/ee-listing-42172560
"649,811 mi",Penske Used Trucks,"Winston Salem, NC","$65,250",2018 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2018/ee-listing-42175122
"666,879 mi",Penske Used Trucks,"Holland, MI","$83,000",2020 VOLVO VNL64860,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64860-2020/ee-listing-42175256
"308,161 mi",Ryder Systems Inc,"Kearny, NJ","$48,580",2016 Freightliner M2 106,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/m2106-2016/ee-listing-42144727
"440,837 mi",Trevs Trucks,"Kansas City, MO","$87,950",2019 FREIGHTLINER CASCADIA 126,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42183782
"707,479 mi",Trevs Trucks,"Kansas City, MO","$75,950",2020 VOLVO VNL64T860,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t860-2020/ee-listing-42154117
"652,764 mi",Penske Used Trucks,"Brookpark, OH","$48,250",2017 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2017/ee-listing-42172633
"483,201 mi",Penske Used Trucks,"Richmond, VA","$55,250",2015 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2015/ee-listing-42184647
"745,841 mi",Don Baskin Truck Sales LLC,"Covington, TN","$14,000",2016 FREIGHTLINER CASCADIA 125,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2016/ee-listing-42154625
"511,157 mi",Don Baskin Truck Sales LLC,"Covington, TN","$25,000",2012 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2012/ee-listing-42150244
"312,439 mi",Don Baskin Truck Sales LLC,"Covington, TN","$16,000",2010 INTERNATIONAL DURASTAR 4300,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/durastar4300-2010/ee-listing-42150504
"636,095 mi",Don Baskin Truck Sales LLC,"Covington, TN","$32,000",2016 INTERNATIONAL PROSTAR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2016/ee-listing-42149912
"664,790 mi",Penske Used Trucks,"Torrance, CA","$74,000",2020 FREIGHTLINER T12664ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/t12664st-2020/ee-listing-42172847
"660,636 mi",Penske Used Trucks,"Elkhart, IN","$40,750",2016 FREIGHTLINER X12564ST,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/x12564st-2016/ee-listing-42184498
"225,575 mi",Don Baskin Truck Sales LLC,"Covington, TN","$15,000",1998 MACK CH613,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/ch613-1998/ee-listing-42150781
